value,other,score,label
5000.0,500.0,100.0,x
55.0,40.0,102.291,x
52.449,8.738,102.798,x
48.979,10.567,102.71,x
49.404,11.302,101.01,x
48.945,8.4,100.871,x
51.139,9.697,92.488,x
49.888,8.691,99.173,x
51.494,10.244,96.262,x
46.305,11.514,100.63,x
53.133,12.024,97.662,x
49.807,8.222,103.093,x
51.361,9.425,104.095,x
49.727,10.704,101.543,x
49.242,11.579,101.581,x
50.926,10.421,100.465,x
51.649,9.254,97.761,x
49.595,10.297,99.177,x
49.694,9.983,97.522,x
51.371,9.796,101.94,x
48.259,9.266,100.071,x
46.971,10.387,102.906,x
50.79,10.308,93.357,x
48.659,9.907,104.439,x
46.159,9.778,96.187,x
48.372,8.715,96.329,x
49.065,9.514,99.013,x
47.614,11.206,97.183,x
47.015,9.809,101.456,x
50.073,8.56,97.129,x
51.794,11.334,94.653,x
49.534,10.53,95.771,x
48.513,12.108,106.56,x
50.77,10.063,100.221,x
51.434,9.539,94.162,x
49.4,8.552,100.042,x
51.089,11.324,92.22,x
52.086,12.57,108.948,x
49.586,9.179,92.378,x
48.373,9.353,102.394,x
50.695,10.596,102.718,x
50.495,9.17,92.75,x
52.198,9.729,101.501,x
47.431,9.65,104.986,x
48.677,10.192,102.338,x
48.324,11.095,101.305,x
46.532,10.022,104.745,x
50.253,10.919,100.805,x
51.056,9.58,101.682,x
48.522,10.328,99.366,x
52.771,7.862,103.159,x
51.644,8.55,95.293,x
51.255,10.796,103.959,x
50.803,9.41,97.473,x
51.911,10.58,94.547,x
47.336,10.542,101.826,x
51.228,11.322,108.465,x
51.206,10.812,104.808,x
46.465,11.017,97.422,x
50.694,9.888,103.49,x
49.499,9.302,97.729,x
51.563,9.268,99.38,x
49.122,9.512,100.448,x
49.964,8.87,88.414,x
50.686,9.453,100.958,x
48.247,9.907,94.852,x
51.197,10.252,96.513,x
49.79,9.661,92.628,x
50.985,8.076,92.417,x
48.956,9.928,95.284,x
52.172,10.225,104.128,x
51.21,11.084,108.33,x
49.644,10.578,99.874,x
51.264,9.356,105.459,x
52.52,9.276,98.68,x
53.582,12.011,90.44,x
46.853,10.757,100.75,x
51.766,11.831,102.228,x
50.93,12.129,97.857,x
49.812,9.182,101.511,x
