value,group,region,cat_a,cat_b
-0.39530128858657,a,north,a2,b2
0.2639148850157296,a,north,a1,b1
0.6071282687955677,a,north,a2,b2
-0.9721597997272025,a,north,a2,b2
0.7676642531398922,a,north,a1,b1
0.25505812177433956,a,north,a1,b1
0.7829798706300901,a,north,a2,b2
0.27241823407236765,a,north,a2,b2
1.1620081255305676,a,north,a1,b1
-0.9377563787668719,a,north,a1,b1
1.776099733817743,a,north,a2,b2
1.2023898441352874,a,north,a2,b2
-0.5999578484570015,a,north,a2,b1
0.6601663130603562,a,north,a2,b2
0.44476738448754977,a,north,a2,b2
-1.7457635656172505,a,north,a2,b2
0.5952162456256633,a,north,a2,b2
-0.5853991209052885,a,north,a1,b1
-0.25001353358513434,a,north,a2,b2
-0.6023864391110364,a,north,a2,b2
-0.4280840067640782,a,north,a1,b1
0.07173470176248886,a,north,a2,b2
0.09671912405619901,a,north,a2,b2
-1.5591518413922796,a,north,a2,b2
-0.26870603364939344,a,north,a1,b1
-1.3448111474077982,a,north,a1,b1
-1.2707778590591046,a,north,a2,b2
-0.346953600730839,a,north,a2,b2
0.85530027587691,a,north,a1,b1
0.6308565040330028,a,north,a1,b1
-0.6046580474158655,a,north,a2,b2
-0.7104208239983351,a,north,a2,b2
-0.8274098970826956,a,north,a2,b2
0.14274021925565974,a,north,a1,b1
0.936650038779724,a,north,a2,b2
0.01804985703847165,a,north,a2,b1
0.6927666696591163,a,north,a2,b2
0.3154090546513482,a,north,a2,b2
1.5041856647552274,a,north,a1,b2
-2.0066907365561706,a,north,a2,b1
-2.1310340831936396,a,north,a2,b2
-0.19843957784596147,a,north,a2,b2
0.6365395187683154,a,north,a2,b2
-0.410549281758414,a,north,a2,b2
0.42578068000505975,a,north,a2,b2
-1.173544797067956,a,north,a2,b2
-1.2593832343358193,a,north,a1,b1
-0.7165758868835466,a,north,a1,b1
0.8413227181749481,a,north,a2,b2
0.696358369654102,a,north,a1,b1
-0.713252712154986,a,north,a2,b2
0.18111936994597383,a,north,a2,b2
-0.6475708354871698,a,north,a2,b2
0.020059810497343504,a,north,a2,b2
-1.1142963805907677,a,north,a1,b1
-0.04655434751901477,a,north,a2,b2
-0.735753934980961,a,north,a2,b2
-0.04435950785702231,a,north,a1,b1
-0.6520426060122302,a,north,a2,b2
-0.8217414802839252,a,north,a1,b1
0.11343128787139657,a,north,a1,b1
-0.33779536082531136,a,north,a1,b1
0.021671175782686587,a,north,a2,b2
-0.419085181552037,a,north,a1,b1
0.6137428973723346,a,north,a1,b1
-0.8156847530495072,a,north,a1,b1
0.7687510449895725,a,north,a2,b2
1.331974309444846,a,north,a2,b2
-0.26888770649361554,a,north,a1,b1
1.7452430767280316,a,north,a2,b2
7.029698196865837,b,north,a2,b2
5.443075003015475,b,north,a2,b2
3.6423948508806516,b,north,a2,b2
3.384306051547184,b,north,a2,b2
4.824221315803099,b,north,a2,b2
6.775929826482221,b,north,a2,b2
5.574549849965791,b,north,a2,b2
5.758030919458265,b,north,a2,b2
4.749086690209552,b,north,a2,b2
4.255853127198947,b,north,a2,b2
5.3719211043698,b,north,a1,b1
3.8912212836244064,b,north,a1,b1
4.803055611342403,b,north,a2,b2
5.5111522954973555,b,north,a1,b1
5.035934153403116,b,north,a2,b2
5.524564229061252,b,north,a1,b1
4.554023404542398,b,north,a2,b2
5.598179835808844,b,north,a1,b1
5.4046503807009625,b,north,a1,b1
3.3502937390764185,b,north,a2,b2
3.9577370461892922,b,north,a2,b2
4.276523680954451,b,north,a1,b1
5.655586314081984,b,north,a2,b2
5.302080161458605,b,north,a1,b1
5.282988291745562,b,north,a1,b1
5.1729324346201135,b,north,a1,b1
5.6364764540263605,b,north,a2,b2
5.945347841856645,b,north,a1,b1
4.44528381546064,b,north,a1,b1
3.409087835308023,b,north,a2,b2
5.667324455452972,b,north,a2,b2
4.79057079833524,b,north,a1,b1
5.04880537673064,b,north,a1,b1
4.8261947350936785,b,north,a2,b2
3.8874317012692394,b,north,a2,b2
3.4893486853217555,b,north,a1,b1
5.964280186774225,b,north,a1,b1
6.093092529825351,b,north,a1,b1
5.931239663751215,b,north,a1,b1
5.208234645751509,b,north,a2,b2
5.268520784071255,b,north,a2,b2
4.5810703268559685,b,north,a1,b1
5.068012235199191,b,north,a1,b1
4.597163920191042,b,north,a2,b2
4.456313835423915,b,north,a1,b1
5.205203166561399,b,north,a2,b2
6.698100442046864,b,north,a2,b2
3.1164585313764563,b,north,a1,b1
5.601511318239193,b,north,a1,b1
5.675651259637245,b,north,a2,b2
3.7855938562303333,b,north,a2,b2
5.313449942597971,b,north,a2,b2
5.101574963323718,b,north,a2,b2
4.536017278310754,b,north,a1,b1
4.5036756883782045,b,north,a1,b1
3.5938268118630035,b,north,a1,b1
6.707177778357255,b,north,a1,b1
7.347567513329538,b,north,a2,b2
6.58637589386923,b,north,a1,b1
4.712206746113507,b,north,a1,b1
5.285681981133367,b,north,a2,b2
5.377208131620515,b,north,a2,b2
4.187067047599277,b,north,a2,b2
4.741486640400281,b,north,a2,b2
5.533245408582292,b,north,a2,b2
4.578377053211374,b,north,a2,b2
3.2402438841702668,b,north,a1,b1
3.731981351387379,b,north,a1,b1
5.254988376590167,b,north,a2,b2
4.662938603476302,b,north,a1,b1
19.701706388195515,c,north,a1,b1
21.355977867219373,c,north,a1,b1
20.0847866229643,c,north,a1,b2
19.28256376709836,c,north,a1,b1
19.935036683391097,c,north,a1,b1
22.15791082188956,c,north,a2,b2
18.87353635089162,c,north,a1,b1
21.786948338595362,c,north,a1,b1
21.441594990780036,c,north,a2,b2
19.83990469415603,c,north,a2,b2
19.66411059288728,c,north,a1,b1
21.41880830869138,c,north,a1,b1
20.243970172911233,c,north,a1,b1
19.469167006573656,c,north,a2,b2
21.822761726757893,c,north,a2,b2
20.174492376310052,c,north,a1,b1
20.33214588311318,c,north,a1,b1
20.038518399661054,c,north,a1,b1
19.698689275095706,c,north,a2,b2
20.12420019946697,c,north,a2,b2
19.629904053546355,c,north,a2,b2
20.50753111290718,c,north,a2,b2
21.05545383715704,c,north,a2,b2
21.085198198172034,c,north,a2,b1
21.191393098168405,c,north,a2,b2
21.49546863335052,c,north,a1,b1
20.761035016366826,c,north,a1,b1
19.395516374244824,c,north,a2,b2
20.9621555437727,c,north,a1,b1
18.350793196824323,c,north,a1,b2
19.286628651841777,c,north,a1,b1
20.289968665723094,c,north,a2,b2
